id,観光スポット,エリア,特徴①,特徴②
1,おびひろ動物園,帯広,見る,
2,幸福駅,帯広,見る,
3,真鍋庭園,帯広,見る,
4,宙旅カフェ,帯広,見る,食べる
5,池田ワイン城,帯広,見る,食べる
6,十勝千年の森,帯広,見る,
7,ばんえい競馬,帯広,見る,賭ける
8,糠平湖,帯広,見る,
9,オンネトー,帯広,見る,
10,六花亭　帯広本店,帯広,食べる,
11,柳月　スイートピア・ガーデン,帯広,食べる,
12,花畑牧場,帯広,食べる,
13,クランベリー　帯広本店,帯広,食べる,
14,岩内仙狭,帯広,見る,
15,道の駅　なかさつない,帯広,食べる,
16,とかちむら,帯広,買う,
17,馬の資料館,帯広,見る,
18,芽登温泉,帯広,ゆったり,
19,十勝ネイチャーセンター,帯広,体験,
20,帯広百年記念館,帯広,見る,
21,ナイタイ高原牧場ナイタイテラス,帯広,食べる,
22,十勝野フロマージュ,帯広,食べる,
23,ふれあい動物園,帯広,体験,
24,北海道立帯広美術館,帯広,見る,
25,足寄動物化石博物館,帯広,見る,体験
26,帯広児童会館,帯広,見る,体験
27,白樺ジンギスカン,帯広,食べる,
28,カウベルハウス,帯広,食べる,
29,帯広畜産大学,帯広,見る,
30,六花の森,帯広,食べる,見る
31,麦音,帯広,食べる,
32,よつ葉牛乳　十勝主管工場,帯広,見る,
33,清水丸山展望台,帯広,見る,
34,虫類ナウマン象記念館,帯広,見る,
35,然別湖ネイチャーセンター,帯広,体験,
36,タウシュベツ川,帯広,見る,
37,銀河の森展望台,帯広,見る,
38,十勝ヒルズ,帯広,見る,食べる
39,ドリームドルチェ,帯広,食べる,
40,柳月　トスカチーナ,帯広,食べる,
41,平和園,帯広,食べる,
42,インデアンカレー,帯広,食べる,
43,ぶたいち,帯広,食べる,
44,観月苑,帯広,ゆったり,
45,井田牧場,帯広,体験,
46,十勝が丘展望台,帯広,見る,
47,エコロジーパーク,帯広,体験,
48,サホロ湖　ワカサギ釣り,帯広,体験,
49,NEEDS,帯広,食べる,
50,ととろーど,帯広,見る,
51,明治なるほどファクトリー十勝,帯広,見る,
52,テレビ塔,札幌,見る,
